Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
c7b781ae		Auto Highlight Ren'Py Module 2021 Daniel Westfall <SoDaRa2595@gmail.com>	game/01auto-highlight.rpy	1	"[what]"
176f8240		http://twitter.com/sodara9 I'd appreciate being given credit if you do end up using it! :D Would really make my day to know I helped some people out! http://opensource.org/licenses/mit-license.php Github: https://github.com/SoDaRa/Auto-Highlight itch.io: https://wattson.itch.io/renpy-auto-highlight	game/01auto-highlight.rpy	1	"[what]"
f3e37507		Setup (IMPORTANT)	game/01auto-highlight.rpy	31	"[what]"
15d02f4f		General Note	game/01auto-highlight.rpy	58	"[what]"
2fad2a99		Variables	game/01auto-highlight.rpy	71	"[what]"
b9327469		Transforms	game/01auto-highlight.rpy	89	"[what]"
prologue_5f0086bb		Let their spirits pass without suffering. Let their memories remain unspoiled.	game/02_prologue.rpy	249	"[what]"
prologue_e123e360		Let Your cloak be warm. Let their burdens fall at Your feet, Almighty Enoch.	game/02_prologue.rpy	250	"[what]"
prologue_b793fbc9		A young woman with silver hair knelt in the dust and shadow, her fingers cold against the bloodspattered floor.	game/02_prologue.rpy	252	"[what]"
prologue_2ca00c12		The torchlight flickered against her trembling form. She closed her eyes and spoke softly, her voice barely more than a breath.	game/02_prologue.rpy	253	"[what]"
prologue_be96aba6	kristin	Grant me strength to carry out your will: to lay these bodies to rest with reverence, to honor their passage, and to usher them into your sacred silence.	game/02_prologue.rpy	258	kristin "[what]"
prologue_ea1f796c		Two aldorith soldiers stood at the threshold, their faces sharp with impatience, their breath fogging faintly in the chill of the underground.	game/02_prologue.rpy	261	"[what]"
prologue_bda836c4	boy_ald	She's still praying. It's been five minutes.	game/02_prologue.rpy	269	boy_ald "[what]"
prologue_17719736	girl_ald	You're right. We cannot linger. The rot will draw attention.	game/02_prologue.rpy	271	girl_ald "[what]"
prologue_e547938e		Kristin's voice quivered as she continued to whisper her prayer—begging Enoch to take their souls gently.	game/02_prologue.rpy	273	"[what]"
prologue_db005679		To let them find peace. To weigh the sins of the living, not the dead.	game/02_prologue.rpy	274	"[what]"
prologue_1987765e	boy_ald	Enough of this, Kristin.	game/02_prologue.rpy	277	boy_ald "[what]"
prologue_8366c080		Kristin flinched as if struck. She turned, eyes wide, lips pale.	game/02_prologue.rpy	281	"[what]"
prologue_e73a95a6	kristin	I was only… I was praying to Lord Enoch.	game/02_prologue.rpy	286	kristin "[what]"
prologue_473d2a3a	girl_ald	A prayer that's lasted too long. For minutes, sister. We've listened. Are you certain you're not harboring doubts?	game/02_prologue.rpy	290	girl_ald "[what]"
prologue_be58ae3b	kristin	D-Doubts? No, sister.	game/02_prologue.rpy	293	kristin "[what]"
prologue_006431ae	kristin	But… What we did—what happened—was it really right? We killed the queen and her two sons.	game/02_prologue.rpy	295	kristin "[what]"
prologue_0505b239	boy_ald	What are you saying? That our Father was wrong?	game/02_prologue.rpy	299	boy_ald "[what]"
prologue_4345d0fc	kristin	N-no! I would never—why would I?	game/02_prologue.rpy	301	kristin "[what]"
prologue_0202e072	girl_ald	Your blood-brother Svante didn't hesitate. He slit their throats without blinking. He was useful. You? You pray for corpses.	game/02_prologue.rpy	306	girl_ald "[what]"
prologue_dd21ca86	boy_ald	Useless.	game/02_prologue.rpy	308	boy_ald "[what]"
prologue_a27932f6		Kristin dropped her gaze. Her hands trembled at her sides.	game/02_prologue.rpy	310	"[what]"
prologue_2253043c	kristin	I'm very sorry… I just—	game/02_prologue.rpy	315	kristin "[what]"
prologue_f3895085	boy_ald	We don't need you anymore. You're only stalling.	game/02_prologue.rpy	317	boy_ald "[what]"
prologue_abcdc83e	boy_ald	Count Vasily might have better use for someone like you.	game/02_prologue.rpy	319	boy_ald "[what]"
prologue_8b8116dc		She didn't argue. With her head bowed and hands trembling at her sides, Kristin turned and walked away.	game/02_prologue.rpy	322	"[what]"
prologue_dcee18e9		Her footsteps echoed faintly down the underground tunnel—slow and hesitant.	game/02_prologue.rpy	323	"[what]"
prologue_c030945b		The two Aldoriths watched her disappear into the dark before exchanging a glance.	game/02_prologue.rpy	327	"[what]"
prologue_61d22ff6		Their gazes drifted to the lifeless forms behind them: the Queen of Tianho, regal even in death, and her two sons, wrapped in the stillness of final silence.	game/02_prologue.rpy	328	"[what]"
prologue_56d92eaf	boy_ald	That Kristin… soft-hearted as ever.	game/02_prologue.rpy	330	boy_ald "[what]"
prologue_38c4f93b	girl_ald	She won't last. We both know Father only kept her around to control Svante.	game/02_prologue.rpy	332	girl_ald "[what]"
prologue_948e1aac		They moved wordlessly to the bodies, the ritual of burial unfolding with grim familiarity.	game/02_prologue.rpy	334	"[what]"
prologue_a25cfc3e		Cloth unrolled. Blood wiped. Limbs bound with reverent efficiency.	game/02_prologue.rpy	335	"[what]"
prologue_6aa718a0		Their hands worked swiftly—mechanical, practiced—but there was a flicker of hesitation behind their eyes.	game/02_prologue.rpy	336	"[what]"
prologue_c4aa4407	boy_ald	Why do you think Father really wanted them dead?	game/02_prologue.rpy	339	boy_ald "[what]"
prologue_620278a4	girl_ald	I don't know. And I really don't plan to ask. Best not to chase answers when you're already neck-deep in secrets.	game/02_prologue.rpy	340	girl_ald "[what]"
prologue_22f858fc		She reached for the Queen's hand, cold and graceful, and began to wrap the burial cloth tight around her wrist.	game/02_prologue.rpy	342	"[what]"
prologue_39d7b7a8	boy_ald	This feels… different. We've carried out assassinations before, but never like this.	game/02_prologue.rpy	345	boy_ald "[what]"
prologue_5daf9cfc	boy_ald	A queen. Two princes. Royals of Tianho.	game/02_prologue.rpy	347	boy_ald "[what]"
prologue_75d5506f	girl_ald	Exactly why we need to hurry. If anyone finds out what's buried down here—before the earth swallows it whole—we're finished.	game/02_prologue.rpy	349	girl_ald "[what]"
prologue_a0d094fd	boy_ald	Still… Svante didn't even blink. Just walked in and—	game/02_prologue.rpy	353	boy_ald "[what]"
prologue_ee9bf1a0	girl_ald	Cold as stone. That's why he's Father's favorite. A metal channeler with no hesitation? That's worth more than loyalty.	game/02_prologue.rpy	355	girl_ald "[what]"
prologue_fa01b36b	girl_ald	Which is why he still keeps that skank Kristin…	game/02_prologue.rpy	357	girl_ald "[what]"
prologue_bbb5141f		She tied the final knot, sealing the last shroud.	game/02_prologue.rpy	359	"[what]"
prologue_84f1e3df		The flickering torchlight danced across the linen, casting their silhouettes long and stretched across the stone.	game/02_prologue.rpy	360	"[what]"
prologue_46572f80	girl_ald	And you should remember that.	game/02_prologue.rpy	363	girl_ald "[what]"
prologue_d9a6eadc		A breath passed between them.	game/02_prologue.rpy	365	"[what]"
prologue_d7b615e0		A pressure, subtle at first, then sudden and suffocating, pressed down on the tunnel.	game/02_prologue.rpy	370	"[what]"
prologue_c1ab97b9		The torches guttered, flames trembling like they, too, felt the change.	game/02_prologue.rpy	371	"[what]"
prologue_0c85eebd	boy_ald	D-Do you feel that?	game/02_prologue.rpy	376	boy_ald "[what]"
prologue_d7990718		A shriek—deep, guttural, wrong—ripped through the silence.	game/02_prologue.rpy	380	"[what]"
prologue_11a32cf6	girl_ald	Did you hear that?	game/02_prologue.rpy	383	girl_ald "[what]"
prologue_a08216a8		The wall exploded inward, a mass of claws, horns, and red-hot eyes surging forward.	game/02_prologue.rpy	395	"[what]"
prologue_0c0738f6		The Yaoguai King emerged from the rubble, obsidian-scaled and crowned in bone, the shadows clinging to his form like loyal hounds.	game/02_prologue.rpy	396	"[what]"
prologue_27af1d34	yk	You bury corpses… while your own hearts still beat? How generous. More for my yaoguai to feed on.	game/02_prologue.rpy	401	yk "[what]"
prologue_e05989ae	girl_ald	Enoch above…	game/02_prologue.rpy	407	girl_ald "[what]"
prologue_b26ad096	boy_ald	Sister, run!! I'll hold him off-!	game/02_prologue.rpy	409	boy_ald "[what]"
prologue_e8e5baa1		He slammed his palm to the ground, trying to channel earth. A ripple of stone shifted—but it was too late.	game/02_prologue.rpy	411	"[what]"
prologue_e0170ff7		The Yaoguai King blurred. One moment he was across the chamber—	game/02_prologue.rpy	412	"[what]"
prologue_f7d63ae1		The next, he was upon them.	game/02_prologue.rpy	413	"[what]"
prologue_ff5faf5b	girl_ald	AHHH!!! NO!!!	game/02_prologue.rpy	421	girl_ald "[what]"
prologue_77411958		His claws tore through the air and the girl aldorith fell, her body thudding against the stone in a lifeless heap.	game/02_prologue.rpy	423	"[what]"
prologue_6eb11ce8	boy_ald	SISTER!!	game/02_prologue.rpy	428	boy_ald "[what]"
prologue_d5b6c505	yk	Your turn, little one…	game/02_prologue.rpy	433	yk "[what]"
prologue_choice_wall_61622913		He dropped to one knee, forcing all his will into the trembling ground.	game/02_prologue.rpy	455	"[what]"
prologue_choice_wall_8ce69ff7	boy_ald	Come on, come on—!	game/02_prologue.rpy	458	boy_ald "[what]"
prologue_choice_wall_ef79a2b0		A slab of earth surged upward between him and the Yaoguai King.	game/02_prologue.rpy	460	"[what]"
prologue_choice_wall_f0d238c0		Then—CRACK!	game/02_prologue.rpy	461	"[what]"
prologue_choice_wall_54ed9cc5		A single claw punctured through the wall—then shattered it in one swipe.	game/02_prologue.rpy	465	"[what]"
prologue_choice_wall_f2d28e7e		The force sent him flying, crashing against the tunnel wall.	game/02_prologue.rpy	466	"[what]"
prologue_choice_wall_d9a51e02	boy_ald	ARGHH!!!	game/02_prologue.rpy	473	boy_ald "[what]"
prologue_choice_wall_9f7c8af5		His ribs burned. Blood filled his mouth.	game/02_prologue.rpy	475	"[what]"
prologue_choice_wall_c43e7771	boy_ald	—gkkhh—!	game/02_prologue.rpy	478	boy_ald "[what]"
prologue_choice_wall_d463787e		He collapsed.	game/02_prologue.rpy	480	"[what]"
prologue_choice_dash_d492aa1d		He bolted down the side corridor, heart hammering.	game/02_prologue.rpy	490	"[what]"
prologue_choice_dash_4a246326	boy_ald	Come on… Come on…	game/02_prologue.rpy	495	boy_ald "[what]"
prologue_choice_dash_06edf0d7	yk	Running away from me? Pathetic.	game/02_prologue.rpy	500	yk "[what]"
prologue_choice_dash_91289963		He didn't make it ten steps.	game/02_prologue.rpy	502	"[what]"
prologue_choice_dash_60efd845		Too fast.	game/02_prologue.rpy	503	"[what]"
prologue_choice_dash_845429dc		A blur. A slash. A body fell.	game/02_prologue.rpy	504	"[what]"
prologue_common_e8c3b93b		Silence returned—oppressive and final.	game/02_prologue.rpy	521	"[what]"
prologue_common_b52992a6		The Yaoguai King stood among the dead. His eyes drifted to the bodies wrapped in burial cloth: a queen and two princes, now claimed by darkness.	game/02_prologue.rpy	525	"[what]"
prologue_common_027bd09f		He inhaled deeply, tasting the air.	game/02_prologue.rpy	527	"[what]"
prologue_common_f1d1d7e4	yk	Three royal corpses, wrapped so lovingly… yet buried in secret…	game/02_prologue.rpy	530	yk "[what]"
prologue_common_10ee276e	yk	And not a whisper in the winds? No fanfare. No grief. No mourning bells.	game/02_prologue.rpy	532	yk "[what]"
prologue_common_a4db7ae2		His eyes narrowed. Slowly, he stepped closer to the bodies, talons clicking against the stone.	game/02_prologue.rpy	534	"[what]"
prologue_common_ff686768	yk	That old man… What are you plotting?	game/02_prologue.rpy	541	yk "[what]"
prologue_common_5f5e58c6		He leaned down, baring rows of jagged teeth.	game/02_prologue.rpy	543	"[what]"
